"","x"
"307","Tbrucei---Tb927.10.10920"
"308","Tbrucei---Tb927.11.15330"
"309","Tbrucei---Tb927.4.4580"
"310","Tbrucei---Tb927.8.3150"
"311","Tbrucei---Tb927.10.10000"
"312","Tbrucei---Tb927.11.1980"
"313","Tbrucei---Tb927.11.14090"
"314","Tbrucei---Tb927.1.3310"
"315","Tbrucei---Tb927.10.3660"
"316","Tbrucei---Tb927.4.2040"
"317","Tbrucei---Tb927.11.8440"
"318","Tbrucei---Tb927.1.4100"
"319","Tbrucei---Tb927.10.7300"
"320","Tbrucei---Tb927.11.7800"
"321","Tbrucei---Tb927.2.3880"
"322","Tbrucei---Tb927.9.8160"
"323","Tbrucei---Tb927.8.6340"
"324","Tbrucei---Tb927.3.1010"
"325","Tbrucei---Tb927.11.19800"
"326","Tbrucei---Tb927.6.3750"
"327","Tbrucei---Tb927.10.11630"
"328","Tbrucei---Tb927.9.8740"
"329","Tbrucei---Tb927.1.4650"
"330","Tbrucei---Tb927.11.6440"
"331","Tbrucei---Tb927.4.3950"
"332","Tbrucei---Tb927.8.6450"
"333","Tbrucei---Tb927.9.9810"
"334","Tbrucei---Tb927.10.3420"
"335","Tbrucei---Tb11.v5.0470"
"336","Tbrucei---Tb927.8.1680"
"337","Tbrucei---Tb927.7.6360"
"338","Tbrucei---Tb927.3.870"
"339","Tbrucei---Tb927.10.8330"
"340","Tbrucei---Tb927.11.1150"
"341","Tbrucei---Tb927.10.8970"
"342","Tbrucei---Tb927.11.1870"
"343","Tbrucei---Tb927.10.8950"
"344","Tbrucei---Tb927.11.8220"
"345","Tbrucei---Tb927.11.6370"
"346","Tbrucei---Tb927.10.1400"
"347","Tbrucei---Tb927.7.5410"
"348","Tbrucei---Tb927.3.5350"
"349","Tbrucei---Tb927.3.5200"
"350","Tbrucei---Tb927.1.2600"
"351","Tbrucei---Tb927.11.13110"
"352","Tbrucei---Tb927.11.7840"
"353","Tbrucei---Tb927.10.15180"
"354","Tbrucei---Tb927.10.12780"
"355","Tbrucei---Tb927.10.2370"
"356","Tbrucei---Tb11.v5.0537"
"357","Tbrucei---Tb11.v5.0172"
"358","Tbrucei---Tb927.3.5060"
