"","x"
"416","Tbrucei---Tb927.2.4590"
"417","Tbrucei---Tb927.7.190"
"418","Tbrucei---Tb927.11.3720"
"419","Tbrucei---Tb927.8.6450"
"420","Tbrucei---Tb927.8.4330"
"421","Tbrucei---Tb927.1.5100"
"422","Tbrucei---Tb927.11.12140"
"423","Tbrucei---Tb927.10.14790"
"424","Tbrucei---Tb927.4.1230"
"425","Tbrucei---Tb927.11.12120"
"426","Tbrucei---Tb927.10.200"
"427","Tbrucei---Tb927.7.2180"
"428","Tbrucei---Tb927.10.4760"
"429","Tbrucei---Tb927.4.3480"
"430","Tbrucei---Tb927.11.14430"
"431","Tbrucei---Tb927.8.2320"
"432","Tbrucei---Tb2.NT.8"
"433","Tbrucei---Tb927.9.8720"
"434","Tbrucei---Tb927.9.11480"
"435","Tbrucei---Tb927.9.5770"
"436","Tbrucei---Tb927.10.5160"
"437","Tbrucei---Tb927.11.12130"
"438","Tbrucei---Tb927.11.13090"
"439","Tbrucei---Tb927.11.8740"
"440","Tbrucei---Tb927.11.14190"
"441","Tbrucei---Tb927.5.860"
"442","Tbrucei---Tb927.4.4520"
"443","Tbrucei---Tb927.3.5490"
"444","Tbrucei---Tb927.9.5860"
"445","Tbrucei---Tb927.8.3540"
"446","Tbrucei---Tb927.9.4960"
"447","Tbrucei---Tb927.10.12040"
"448","Tbrucei---Tb927.8.2080"
"449","Tbrucei---Tb927.11.670"
"450","Tbrucei---Tb927.11.3350"
"451","Tbrucei---Tb927.11.16200"
"452","Tbrucei---Tb927.11.3240"
"453","Tbrucei---Tb927.4.4440"
"454","Tbrucei---Tb927.8.7790"
"455","Tbrucei---Tb927.10.10250"
"456","Tbrucei---Tb927.11.7390"
"457","Tbrucei---Tb927.8.5400"
"458","Tbrucei---Tb927.5.1080"
"459","Tbrucei---Tb11.v5.0926"
"460","Tbrucei---Tb927.9.7340"
"461","Tbrucei---Tb927.11.11680"
"462","Tbrucei---Tb927.6.1520"
"463","Tbrucei---Tb927.9.5730"
"464","Tbrucei---Tb927.11.1450"
"465","Tbrucei---Tb927.11.2410"
"466","Tbrucei---Tb927.10.11630"
"467","Tbrucei---Tb927.8.770"
"468","Tbrucei---Tb927.1.880"
"469","Tbrucei---Tb927.9.9290"
"470","Tbrucei---Tb11.1390"
"471","Tbrucei---Tb927.10.12780"
"472","Tbrucei---Tb927.11.10480"
"473","Tbrucei---Tb927.11.10370"
"474","Tbrucei---Tb927.11.17870"
"475","Tbrucei---Tb927.11.6280"
"476","Tbrucei---Tb11.v5.0652"
"477","Tbrucei---Tb927.4.3500"
"478","Tbrucei---Tb927.7.7430"
"479","Tbrucei---Tb927.10.7180"
"480","Tbrucei---Tb927.8.4190"
"481","Tbrucei---Tb927.5.4170"
"482","Tbrucei---Tb927.10.8950"
"483","Tbrucei---Tb927.1.2120"
"484","Tbrucei---Tb927.8.4640"
"485","Tbrucei---Tb927.8.6370"
"486","Tbrucei---Tb927.8.2630"
"487","Tbrucei---Tb927.10.7880"
"488","Tbrucei---Tb927.10.12720"
"489","Tbrucei---Tb927.7.6290"
"490","Tbrucei---Tb927.11.9400"
"491","Tbrucei---Tb927.11.11220"
"492","Tbrucei---Tb927.8.2460"
"493","Tbrucei---Tb927.9.8350"
"494","Tbrucei---Tb927.7.4730"
"495","Tbrucei---Tb927.9.8670"
"496","Tbrucei---Tb927.5.1220"
"497","Tbrucei---Tb927.7.6310"
"498","Tbrucei---Tb927.11.4040"
"499","Tbrucei---Tb927.10.6490"
"500","Tbrucei---Tb927.10.5890"
"501","Tbrucei---Tb927.6.840"
"502","Tbrucei---Tb927.10.11340"
"503","Tbrucei---Tb927.9.7550"
"504","Tbrucei---Tb927.6.4670"
"505","Tbrucei---Tb927.2.5280"
"506","Tbrucei---Tb927.4.1910"
"507","Tbrucei---Tb927.11.11560"
"508","Tbrucei---Tb927.7.2090"
"509","Tbrucei---Tb927.6.3800"
"510","Tbrucei---Tb927.7.6860"
"511","Tbrucei---Tb927.10.15180"
"512","Tbrucei---Tb927.10.7890"
"513","Tbrucei---Tb927.11.11460"
"514","Tbrucei---Tb927.8.650"
"515","Tbrucei---Tb927.10.9430"
"516","Tbrucei---Tb927.3.4180"
"517","Tbrucei---Tb927.4.3940"
"518","Tbrucei---Tb927.10.13360"
